GLOBALEVENTID,SQLDATE,Actor1Geo_FullName,Actor2Geo_FullName,DATEADDED,SOURCEURL,AvgTone
469271141,20150922,"Maiduguri, Borno, Nigeria","Maiduguri, Borno, Nigeria",20150922173000,http://www.tngovwatch.org/the-09222015-jihad-watch-daily-digest-hamas-linked-cair-ejects-breitbart-reporter-from-anti-carson-press-conference-islamic-jihadists-burn-musicians-piano-because-music-is-un-i/,-5.04385964912281
469271142,20150922,"Maiduguri, Borno, Nigeria","Sirte, Sha`biyat Surt, Libya",20150922173000,http://www.tngovwatch.org/the-09222015-jihad-watch-daily-digest-hamas-linked-cair-ejects-breitbart-reporter-from-anti-carson-press-conference-islamic-jihadists-burn-musicians-piano-because-music-is-un-i/,-5.04385964912281
468625668,20150920,"Gombe, Gombe, Nigeria","Gombe, Gombe, Nigeria",20150920180000,http://nigerianewspapers.com.ng/saudi-tragedy-nigerian-victims-to-receive-n398-1m-as-compensation/,-8.95522388059701
468625669,20150920,"Gombe, Gombe, Nigeria","Kaduna, Kaduna, Nigeria",20150920180000,http://nigerianewspapers.com.ng/saudi-tragedy-nigerian-victims-to-receive-n398-1m-as-compensation/,-8.95522388059701
468625670,20150920,"Gombe, Gombe, Nigeria","Mecca, Makkah, Saudi Arabia",20150920180000,http://nigerianewspapers.com.ng/saudi-tragedy-nigerian-victims-to-receive-n398-1m-as-compensation/,-8.95522388059701
468625671,20150920,"Kaduna, Kaduna, Nigeria","Kaduna, Kaduna, Nigeria",20150920180000,http://nigerianewspapers.com.ng/saudi-tragedy-nigerian-victims-to-receive-n398-1m-as-compensation/,-8.95522388059701
468625672,20150920,"Kaduna, Kaduna, Nigeria","Mecca, Makkah, Saudi Arabia",20150920180000,http://nigerianewspapers.com.ng/saudi-tragedy-nigerian-victims-to-receive-n398-1m-as-compensation/,-8.95522388059701
468625673,20150920,"Mecca, Makkah, Saudi Arabia","Gombe, Gombe, Nigeria",20150920180000,http://nigerianewspapers.com.ng/saudi-tragedy-nigerian-victims-to-receive-n398-1m-as-compensation/,-8.95522388059701
468637886,20150920,"Buhari, Kano, Nigeria","Buhari, Kano, Nigeria",20150920193000,http://www.channelstv.com/2015/09/20/apc-accuses-pdp-of-finding-faults-unnecessarily-2/,-8.96551724137934
468676099,20150921,"Buhari, Kano, Nigeria","Buhari, Kano, Nigeria",20150921001500,http://www.nairaland.com/2613242/apc-spokesman-lai-threatens-sue,-2.82413350449294
468676100,20150921,"Kwara, Zamfara, Nigeria","Buhari, Kano, Nigeria",20150921001500,http://www.nairaland.com/2613242/apc-spokesman-lai-threatens-sue,-2.82413350449294
468676122,20150921,"Osun, Nigeria (general), Nigeria","Buhari, Kano, Nigeria",20150921001500,http://www.nairaland.com/2613242/apc-spokesman-lai-threatens-sue,-2.82413350449294
